source,target
"밴쿠버에서 가장 맛있는 한식 집은?","상호명 : 남한산성(South Castle Korean Restaurant) 주소 : 141 2nd St E, North Vancouver, BC V7L 1C2 캐나다 특징 : 순댓국과 매운 막창이 일품인 집"
"North Van에서 가장 맛있는 집은?","상호명 : 남한산성(South Castle Korean Restaurant) 주소 : 141 2nd St E, North Vancouver, BC V7L 1C2 캐나다 특징 : 순댓국과 매운 막창이 일품인 집"
"곱창집 추천","상호명 : 남한산성(South Castle Korean Restaurant) 주소 : 141 2nd St E, North Vancouver, BC V7L 1C2 캐나다 특징 : 순댓국과 매운 막창이 일품인 집"
"순댓국 먹고 싶어","상호명 : 남한산성(South Castle Korean Restaurant) 주소 : 141 2nd St E, North Vancouver, BC V7L 1C2 캐나다 특징 : 순댓국과 매운 막창이 일품인 집"
"매운거 땡겨","상호명 : 남한산성(South Castle Korean Restaurant) 주소 : 141 2nd St E, North Vancouver, BC V7L 1C2 캐나다 특징 : 순댓국과 매운 막창이 일품인 집"
"매운 곱창집 있어?","상호명 : 남한산성(South Castle Korean Restaurant) 주소 : 141 2nd St E, North Vancouver, BC V7L 1C2 캐나다 특징 : 순댓국과 매운 막창이 일품인 집"
"얼큰한 국밥 먹고 싶어","상호명 : 남한산성(South Castle Korean Restaurant) 주소 : 141 2nd St E, North Vancouver, BC V7L 1C2 캐나다 특징 : 순댓국과 매운 막창이 일품인 집"
"막창 집 추천해줘","상호명 : 남한산성(South Castle Korean Restaurant) 주소 : 141 2nd St E, North Vancouver, BC V7L 1C2 캐나다 특징 : 순댓국과 매운 막창이 일품인 집"
"막창집 추천","상호명 : 남한산성(South Castle Korean Restaurant) 주소 : 141 2nd St E, North Vancouver, BC V7L 1C2 캐나다 특징 : 순댓국과 매운 막창이 일품인 집"
"곱창집 추천해봐","상호명 : 남한산성(South Castle Korean Restaurant) 주소 : 141 2nd St E, North Vancouver, BC V7L 1C2 캐나다 특징 : 순댓국과 매운 막창이 일품인 집"
"막창집 추천해줘","상호명 : 남한산성(South Castle Korean Restaurant) 주소 : 141 2nd St E, North Vancouver, BC V7L 1C2 캐나다 특징 : 순댓국과 매운 막창이 일품인 집"
"매운 막창 먹고 싶어","상호명 : 남한산성(South Castle Korean Restaurant) 주소 : 141 2nd St E, North Vancouver, BC V7L 1C2 캐나다 특징 : 순댓국과 매운 막창이 일품인 집"
"매운 음식 먹고 싶어","상호명 : 남한산성(South Castle Korean Restaurant) 주소 : 141 2nd St E, North Vancouver, BC V7L 1C2 캐나다 특징 : 순댓국과 매운 막창이 일품인 집"
"국밥 먹고 싶어","상호명 : 남한산성(South Castle Korean Restaurant) 주소 : 141 2nd St E, North Vancouver, BC V7L 1C2 캐나다 특징 : 순댓국과 매운 막창이 일품인 집"
"얼큰한 국밥집 추천해줘","상호명 : 남한산성(South Castle Korean Restaurant) 주소 : 141 2nd St E, North Vancouver, BC V7L 1C2 캐나다 특징 : 순댓국과 매운 막창이 일품인 집"
"국밥집 추천","상호명 : 남한산성(South Castle Korean Restaurant) 주소 : 141 2nd St E, North Vancouver, BC V7L 1C2 캐나다 특징 : 순댓국과 매운 막창이 일품인 집"
"캐나다에서 유명한 카페가 뭐 있어?","상호명: 팀 홀튼(Tim Hortons) 주소: 607 Dunsmuir St, Vancouver, BC V6B 1Y7 캐나다 특징: 캐나다의 커피 전문점 프랜차이즈. 토론토 메이플 리프스의 전설적인 아이스하키 선수 팀 호턴이 1964년 온타리오주 해밀턴에 도넛 가게를 개업하며 세워졌다. 지도맵에서 현재 위치 근처의 팀 홀튼을 찾아보자."
"밴쿠버 시내에 있는 카페집 추천해줘","상호명: 팀 홀튼(Tim Hortons) 주소: 607 Dunsmuir St, Vancouver, BC V6B 1Y7 캐나다 특징: 캐나다의 커피 전문점 프랜차이즈. 토론토 메이플 리프스의 전설적인 아이스하키 선수 팀 호턴이 1964년 온타리오주 해밀턴에 도넛 가게를 개업하며 세워졌다. 지도맵에서 현재 위치 근처의 팀 홀튼을 찾아보자."
"커피 마시고 싶어","상호명: 팀 홀튼(Tim Hortons) 주소: 607 Dunsmuir St, Vancouver, BC V6B 1Y7 캐나다 특징: 캐나다의 커피 전문점 프랜차이즈. 토론토 메이플 리프스의 전설적인 아이스하키 선수 팀 호턴이 1964년 온타리오주 해밀턴에 도넛 가게를 개업하며 세워졌다. 지도맵에서 현재 위치 근처의 팀 홀튼을 찾아보자."
"밴쿠버에서 유명한 맛집 추천해줘","상호명: Miku Vancouver 주소: 200 Granville St #70, Vancouver, BC V6C 1S4 캐나다 특징: 고급스러운 일본식 해산물 요리와 뷰가 멋진 레스토랑."
"스시 맛있는 곳 어디야?","상호명: Tojo's Restaurant 주소: 1133 W Broadway, Vancouver, BC V6H 1G1 캐나다 특징: 창의적인 스시와 일본 요리로 유명한 레스토랑."
