questions,answers
대성각의 대표적인 메뉴를 알 수 있나요?,"대성각의 메뉴에는 짜장면, 짬뽕가 있습니다"
대성각의 영업시간은 어떻게 되나요?,대성각의 영업시간은 11:00 - 15:00/21:00입니다
대성각의 연락처를 알 수 있나요?,대성각의 연락처는 02-356-2194입니다
대성각에 인접한 시설을 알 수 있나요?,"대성각에 인접한 시설에는 역촌역 3번출구, 그림나라아동미술, 메리피아노음악교습소가 있습니다"
대성각의 휴무일을 알 수 있나요?,대성각의 휴무일은 매주 일요일입니다
대성각의 위치를 알 수 있나요?,대성각의 위치는 서울 은평구 녹번로 7입니다
대성각의 주차시설이 있나요?,대성각의 주차시설은 없음습니다
대성각의 주차시설이 있는지 알 수 있나요?,대성각의 주차시설은 없음습니다
대성각에 인접한 시설이 있나요?,"대성각에 인접한 시설에는 역촌역 3번출구, 그림나라아동미술, 메리피아노음악교습소가 있습니다"
대성각의 주요 메뉴를 알 수 있나요?,"대성각의 메뉴에는 짜장면, 짬뽕가 있습니다"
대성각의 연락처가 어떻게 되나요?,대성각의 연락처는 02-356-2194입니다
가문의우동의 대표 메뉴가 무엇인가요?,"가문의우동의 메뉴에는 김치냄비우동, 김치가츠나베가 있습니다"
가문의우동의 영업시간을 알 수 있나요?,가문의우동의 영업시간은 10:00 - 19:30입니다
가문의우동의 휴무일을 알 수 있나요?,"가문의우동의 휴무일은 매주 토요일, 매주 일요일, 공휴일입니다"
가문의우동의 주차시설이 있나요?,가문의우동의 주차시설은 없음습니다
가문의우동의 위치를 알 수 있나요?,가문의우동의 위치는 서울 용산구 청파로47다길 5-1입니다
가문의우동의 영업시간은 어떻게 되나요?,가문의우동의 영업시간은 10:00 - 19:30입니다
가문의우동의 연락처가 어떻게 되나요?,가문의우동의 연락처는 02-703-8325입니다
가문의우동에 인접한 시설을 알 수 있나요?,"가문의우동에 인접한 시설에는 숙대입구역 10번 출구, 엘림하숙, 브랜드애즈가 있습니다"
가문의우동에 인접한 시설이 있나요?,"가문의우동에 인접한 시설에는 숙대입구역 10번 출구, 엘림하숙, 브랜드애즈가 있습니다"
가문의우동의 위치는 어떻게 되나요?,가문의우동의 위치는 서울 용산구 청파로47다길 5-1입니다
빈칸 본점의 대표적인 메뉴를 알 수 있나요?,"빈칸 본점의 메뉴에는 아메리카노, 비트 사과 주스가 있습니다"
빈칸 본점의 주차시설이 있나요?,빈칸 본점의 주차시설은 있음습니다
빈칸 본점의 휴무일을 알 수 있나요?,빈칸 본점의 휴무일은 알수없습니다
빈칸 본점의 위치는 어떻게 되나요?,빈칸 본점의 위치는 서울 동대문구 망우로21길 52 춘태빌딩1층입니다
빈칸 본점의 위치를 알 수 있나요?,빈칸 본점의 위치는 서울 동대문구 망우로21길 52 춘태빌딩1층입니다
빈칸 본점의 주차시설이 있는지 알 수 있나요?,빈칸 본점의 주차시설은 있음습니다
빈칸 본점의 영업시간은 몇시부터 몇시까지로 기재되어 있나요?,빈칸 본점의 영업시간은 09:30 - 23:30입니다
빈칸 본점에 인접한 시설이 있나요?,"빈칸 본점에 인접한 시설에는 회기역 2번출구, 성진커머스, 황금코다리가 있습니다"
빈칸 본점의 휴무일은 어떻게 되나요?,빈칸 본점의 휴무일은 알수없습니다
빈칸 본점에 인접한 시설을 알 수 있나요?,"빈칸 본점에 인접한 시설에는 회기역 2번출구, 성진커머스, 황금코다리가 있습니다"
빈칸 본점의 연락처가 어떻게 되나요?,빈칸 본점의 연락처는 02-1577-5886입니다
빈칸 본점의 연락처를 알 수 있나요?,빈칸 본점의 연락처는 02-1577-5886입니다
빈칸 본점의 영업시간을 알 수 있나요?,빈칸 본점의 영업시간은 09:30 - 23:30입니다
드로잉레시피의 메뉴를 알 수 있나요?,"드로잉레시피의 메뉴에는 갈릭 쉬림프, 게토 서울가 있습니다"
드로잉레시피의 휴무일을 알 수 있나요?,드로잉레시피의 휴무일은 알수없습니다
드로잉레시피의 영업시간을 알 수 있나요?,드로잉레시피의 영업시간은 12:00 - 22:00입니다
드로잉레시피에 인접한 시설이 있나요?,"드로잉레시피에 인접한 시설에는 건대입구역 5번 출구, 감성고기, 김밥천국가 있습니다"
드로잉레시피의 위치는 어떻게 되나요?,드로잉레시피의 위치는 서울 광진구 뚝섬로33길 45입니다
드로잉레시피의 대표 메뉴가 무엇인가요?,"드로잉레시피의 메뉴에는 갈릭 쉬림프, 게토 서울가 있습니다"
드로잉레시피의 연락처를 알 수 있나요?,드로잉레시피의 연락처는 0507-1412-5334입니다
드로잉레시피의 주차시설이 있나요?,드로잉레시피의 주차시설은 있음습니다
드로잉레시피의 주차시설이 있는지 알 수 있나요?,드로잉레시피의 주차시설은 있음습니다
드로잉레시피의 연락처가 어떻게 되나요?,드로잉레시피의 연락처는 0507-1412-5334입니다
드로잉레시피의 위치를 알 수 있나요?,드로잉레시피의 위치는 서울 광진구 뚝섬로33길 45입니다
멸치집의 영업시간을 알 수 있나요?,멸치집의 영업시간은 16:30-23:00입니다
멸치집의 주요 메뉴를 알 수 있나요?,"멸치집의 메뉴에는 멸치 찌개, 멸치 회무침가 있습니다"
멸치집의 위치를 알 수 있나요?,멸치집의 위치는 서울 송파구 백제고분로15길 44입니다
멸치집의 영업시간은 몇시부터 몇시까지로 기재되어 있나요?,멸치집의 영업시간은 16:30-23:00입니다
멸치집의 주차시설이 있는지 알 수 있나요?,멸치집의 주차시설은 없음습니다
멸치집의 대표적인 메뉴를 알 수 있나요?,"멸치집의 메뉴에는 멸치 찌개, 멸치 회무침가 있습니다"
멸치집의 주차시설이 있나요?,멸치집의 주차시설은 없음습니다
멸치집의 연락처를 알 수 있나요?,멸치집의 연락처는 02-594-0000입니다
멸치집의 휴무일을 알 수 있나요?,멸치집의 휴무일은 매주 일요일입니다
