questions,answers
숙이네닭발의 주소는 어떻게 되나요?,숙이네닭발의 주소는 서울 용산구 우사단로10길 47입니다
숙이네닭발의 영업시간은 몇시부터 몇시까지로 기재되어 있나요?,숙이네닭발의 영업시간은 18:00 - 23:40입니다
숙이네닭발의 연락처가 어떻게 되나요?,숙이네닭발의 연락처는 02-798-0838입니다
숙이네닭발에 인접한 시설을 알 수 있나요?,"숙이네닭발에 인접한 시설에는 이태원역 3번 출구,  보광초등학교가 있습니다"
숙이네닭발의 영업시간은 어떻게 되나요?,숙이네닭발의 영업시간은 18:00 - 23:40입니다
숙이네닭발의 휴무일은 어떻게 되나요?,숙이네닭발의 휴무일은 매주 일요일입니다
숙이네닭발의 주차시설이 있나요?,숙이네닭발의 주차시설이 없습니다
숙이네닭발의 주차시설이 있는지 알 수 있나요?,숙이네닭발의 주차시설이 없습니다
숙이네닭발의 주요 메뉴는 무엇이 있나요?,"숙이네닭발의 메뉴에는 국물닭발,  무뼈닭발이 있습니다"
숙이네닭발의 주소를 알 수 있나요?,숙이네닭발의 주소는 서울 용산구 우사단로10길 47입니다
숙이네닭발의 연락처를 알 수 있나요?,숙이네닭발의 연락처는 02-798-0838입니다
숙이네닭발에 인접한 시설이 있나요?,"숙이네닭발에 인접한 시설에는 이태원역 3번 출구,  보광초등학교가 있습니다"
술김생의 주소는 어떻게 되나요?,술김생의 주소는 서울 광진구 아차산로 238입니다
술김생의 연락처를 알 수 있나요?,술김생의 연락처는 0507-1363-7833입니다
술김생의 주차시설이 있나요?,술김생의 주차시설이 있습니다
술김생에 인접한 시설을 알 수 있나요?,"술김생에 인접한 시설에는 건대입구역 5번 출구,  베리폴댄스,  감자탕사돈가 있습니다"
술김생의 대표적인 메뉴를 알 수 있나요?,"술김생의 메뉴에는 김치생삼겹살,  목살이 있습니다"
술김생의 휴무일은 어떻게 되나요?,술김생의 휴무일은 매주 일요일입니다
술김생의 휴무일을 알 수 있나요?,술김생의 휴무일은 매주 일요일입니다
술김생의 주소를 알 수 있나요?,술김생의 주소는 서울 광진구 아차산로 238입니다
술김생의 주요 메뉴는 무엇이 있나요?,"술김생의 메뉴에는 김치생삼겹살,  목살이 있습니다"
나미에 인접한 시설이 있나요?,"나미에 인접한 시설에는 서울아산병원,  하나은행가 있습니다"
